node	anchor	dist	error
36	34	8.161	-0.160
36	34	8.124	-0.197
36	34	8.133	-0.188
36	34	8.171	-0.150
36	34	8.175	-0.146
36	34	8.138	-0.183
36	34	8.110	-0.211
36	34	8.081	-0.239
36	34	8.138	-0.183
36	34	8.114	-0.207
36	34	8.110	-0.211
36	34	8.133	-0.188
36	34	8.138	-0.183
36	34	8.114	-0.207
36	34	8.147	-0.174
36	34	8.138	-0.183
36	34	8.133	-0.188
36	34	8.133	-0.188
36	34	8.147	-0.174
36	34	8.067	-0.254
36	34	8.119	-0.202
37	6	15.478	-0.201
37	6	15.558	-0.121
37	6	15.506	-0.172
37	6	15.558	-0.121
37	6	15.586	-0.093
37	6	15.558	-0.121
37	6	15.502	-0.177
37	6	15.553	-0.126
37	6	15.516	-0.163
37	6	15.548	-0.130
37	6	15.459	-0.219
37	31	21.590	-0.059
37	31	21.547	-0.101
37	31	21.608	-0.040
37	31	21.566	-0.082
37	31	21.562	-0.087
37	31	21.505	-0.143
37	31	21.562	-0.087
37	31	21.510	-0.139
37	33	11.796	0.100
37	33	11.773	0.076
37	33	11.787	0.090
37	33	11.726	0.029
37	33	11.796	0.100
37	33	11.801	0.104
37	33	11.787	0.090
37	33	11.792	0.095
37	33	11.806	0.109
14	19	13.691	-0.075
14	19	13.644	-0.122
14	19	13.654	-0.113
14	19	13.658	-0.108
14	19	13.635	-0.132
14	19	13.658	-0.108
14	19	13.696	-0.071
14	19	13.658	-0.108
14	19	13.658	-0.108
14	19	13.672	-0.094
14	19	13.630	-0.136
14	19	13.607	-0.160
14	19	13.691	-0.075
14	19	13.663	-0.103
14	19	13.682	-0.085
14	19	13.677	-0.089
14	19	13.700	-0.066
14	19	13.644	-0.122
14	19	13.630	-0.136
14	19	13.654	-0.113
14	19	13.668	-0.099
14	19	13.710	-0.056
14	22	21.698	0.127
19	22	19.230	-0.180
19	22	19.240	-0.171
19	22	19.226	-0.185
19	22	19.254	-0.157
19	22	19.230	-0.180
19	22	19.268	-0.143
19	22	19.235	-0.176
19	22	19.249	-0.162
19	22	19.263	-0.147
19	22	19.235	-0.176
19	22	19.207	-0.204
33	34	21.665	-0.092
33	34	21.669	-0.088
33	34	21.674	-0.083
33	34	21.669	-0.088
33	34	21.693	-0.064
33	34	21.646	-0.111
33	34	21.674	-0.083
33	34	21.660	-0.097
33	34	21.651	-0.106
33	34	21.721	-0.036
33	34	21.665	-0.092
