node	anchor	dist	error
2	37	19.939	0.203
2	37	19.934	0.199
2	37	19.962	0.227
2	37	20.004	0.269
2	10	16.984	-0.183
2	10	16.998	-0.168
2	10	17.012	-0.154
2	10	17.003	-0.164
2	10	16.979	-0.187
2	10	17.003	-0.164
2	10	16.993	-0.173
2	10	16.993	-0.173
2	10	16.993	-0.173
2	10	17.021	-0.145
2	10	17.035	-0.131
2	10	17.017	-0.150
2	10	16.993	-0.173
2	10	17.012	-0.154
2	10	17.017	-0.150
2	10	17.026	-0.140
2	10	17.040	-0.126
2	31	19.507	-0.019
2	31	19.474	-0.052
2	31	19.498	-0.028
2	31	19.479	-0.047
2	31	19.451	-0.075
2	31	19.437	-0.089
2	31	19.512	-0.014
2	31	19.474	-0.052
2	31	19.460	-0.066
2	33	17.096	-0.220
2	33	17.110	-0.206
2	33	17.082	-0.234
2	33	17.073	-0.243
2	33	17.134	-0.182
2	33	17.106	-0.210
2	33	17.101	-0.215
2	33	17.096	-0.220
2	33	17.087	-0.229
2	33	17.124	-0.192
2	34	16.191	-0.133
2	34	16.191	-0.133
2	34	16.186	-0.138
2	34	16.219	-0.105
2	34	16.219	-0.105
2	34	16.196	-0.129
2	34	16.210	-0.115
2	34	16.229	-0.096
2	34	16.247	-0.077
2	34	16.215	-0.110
2	34	16.238	-0.086
2	34	16.261	-0.063
2	34	16.215	-0.110
2	34	16.200	-0.124
2	34	16.257	-0.068
3	5	22.143	-0.173
3	5	22.115	-0.201
3	5	22.162	-0.154
3	5	22.152	-0.164
3	5	22.162	-0.154
3	5	22.157	-0.159
3	5	22.124	-0.192
3	5	22.124	-0.192
3	5	22.148	-0.168
3	5	22.120	-0.197
3	9	11.501	-0.035
3	9	11.477	-0.059
3	9	11.524	-0.012
3	9	11.491	-0.045
3	9	11.487	-0.049
3	9	11.468	-0.068
3	9	11.505	-0.030
3	9	11.510	-0.026
3	9	11.491	-0.045
3	9	11.496	-0.040
3	15	20.089	0.209
3	15	19.990	0.110
3	15	19.986	0.105
3	15	19.939	0.058
3	15	19.962	0.082
3	20	6.899	-0.106
3	20	6.899	-0.106
3	20	6.914	-0.092
3	20	6.918	-0.088
3	20	6.932	-0.074
3	20	6.951	-0.055
3	20	6.899	-0.106
3	20	6.923	-0.083
3	20	6.942	-0.064
3	20	6.937	-0.069
3	20	6.928	-0.078
3	20	6.909	-0.097
3	20	6.932	-0.074
3	24	12.880	-0.110
3	24	12.894	-0.096
3	24	12.870	-0.119
3	24	12.936	-0.054
3	24	12.889	-0.101
3	24	12.941	-0.049
3	24	12.964	-0.026
3	24	12.884	-0.105
3	24	12.931	-0.058
3	24	12.898	-0.091
3	6	21.580	1.085
3	6	22.767	2.271
3	6	22.378	1.882
3	6	22.640	2.145
3	6	21.970	1.474
3	6	21.594	1.099
3	6	22.781	2.285
3	6	22.373	1.877
3	6	22.406	1.910
